Name,Score,Genres,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
Zoids Fuzors,6.42,"Adventure, Mecha, Sci-Fi, Shounen",26,"Oct 3, 2004 to Apr 3, 2005",Fall 2004,Tokyo Kids,Unknown,Unknown,Unknown,25 min. per ep.,PG-13 - Teens 13 or older,6336,4944,9771,17,268,6182,356,769,2196,189,305,637,1169,927,633,334,157,90,82
Freedom,7.45,"Action, Sci-Fi, Adventure, Space",7,"Nov 24, 2006 to May 23, 2008",Unknown,"Bandai Visual, Dentsu","Bandai Entertainment, Discotek Media, NYAV Post, Bandai Visual USA",Sunrise,Original,27 min. per ep.,PG-13 - Teens 13 or older,1736,3622,20385,66,740,8357,602,541,10145,511,1101,2002,1847,874,393,160,60,34,34
Piyoko ni Omakase pyo!,6.59,"Comedy, Sci-Fi, Shounen",8,"Mar 21, 2003 to May 3, 2003",Unknown,Broccoli,"Sentai Filmworks, Synch-Point",Madhouse,Unknown,15 min. per ep.,PG-13 - Teens 13 or older,5448,8644,2163,6,75,1073,91,90,834,56,50,136,203,159,82,41,30,10,10
Jikuu Bouken Nuumamonjaa,5.28,"Action, Comedy, Fantasy",1,1-Aug-96,Unknown,Yomiuri Advertising,Unknown,Production I.G,Game,16 min.,PG-13 - Teens 13 or older,10178,5924,6249,7,51,5123,52,66,957,110,128,261,540,665,796,467,272,250,187
Di Gi Charat: Hoshi no Tabi,6.58,Comedy,1,22-Dec-01,Unknown,Unknown,Unknown,Madhouse,Unknown,21 min.,PG-13 - Teens 13 or older,5487,7978,2792,3,54,1902,38,67,731,60,68,184,365,268,159,60,18,15,7
Di Gi Charat: Kuchi Kara Bazooka,6.26,Comedy,1,12-Jul-02,Unknown,Unknown,Unknown,Madhouse,Unknown,13 min.,PG-13 - Teens 13 or older,7054,9148,1760,1,25,1165,21,48,501,36,50,78,179,197,109,53,29,14,10
Di Gi Charat Summer Special 2000,6.47,Comedy,4,"Aug 22, 2000 to Aug 23, 2000",Unknown,TBS,Sentai Filmworks,Madhouse,Unknown,11 min. per ep.,G - All Ages,6065,8281,2510,1,55,1796,35,70,554,59,65,161,328,277,159,57,35,11,12
Di Gi Charat Ohanami Special,6.65,Comedy,4,6-Apr-01,Unknown,TBS,Unknown,Unknown,Unknown,10 min. per ep.,G - All Ages,5121,8492,2287,1,42,1582,32,63,568,61,66,153,312,233,117,47,19,7,7
Di Gi Charat Natsuyasumi Special,6.59,Comedy,4,"Aug 2, 2001 to Aug 3, 2001",Unknown,TBS,Unknown,Unknown,Unknown,11 min. per ep.,G - All Ages,5421,8477,2318,2,36,1612,38,58,574,57,73,158,276,247,113,53,22,11,8
Di Gi Charat Christmas Special,6.57,Comedy,1,"Dec 17, 2000 to Dec 17, 2020",Unknown,TBS,Sentai Filmworks,Madhouse,Unknown,23 min.,G - All Ages,5529,7958,2838,3,35,2219,26,57,501,79,99,203,390,345,181,70,24,15,13
Di Gi Charat Tsuyu Specials,6.48,Comedy,2,1-Jun-01,Unknown,Unknown,Unknown,Madhouse,Unknown,12 min. per ep.,G - All Ages,5990,9424,1594,1,34,929,30,54,547,35,39,56,157,144,78,30,10,4,5
Jigen Sengokushi: Kuro no Shishi - Jinnai-hen,5.62,"Action, Adventure, Historical, Sci-Fi, Shounen",1,21-Nov-92,Unknown,"Nippon Columbia, Dynamic Planning",ADV Films,Unknown,Unknown,42 min.,R - 17+ (violence & profanity),9350,7613,3258,3,86,1944,44,47,1137,47,58,133,269,306,271,190,126,65,45
Arslan Senki,6.92,"Action, Adventure, Drama, Fantasy, Historical",6,"Aug 17, 1991 to Sep 21, 1995",Unknown,"Production I.G, Kadokawa Shoten, Movic, Sony Music Entertainment, Aubec",Central Park Media,"J.C.Staff, animate Film",Light novel,37 min. per ep.,PG-13 - Teens 13 or older,3935,3808,18138,83,881,7093,650,782,8732,319,493,1042,1577,1074,519,197,69,32,22
Slam Dunk (Movie),7.36,"Comedy, Drama, School, Shounen, Slice of Life, Sports",1,12-Mar-94,Unknown,Unknown,Unknown,Toei Animation,Manga,30 min.,PG-13 - Teens 13 or older,2059,4249,14338,33,202,10662,155,124,3195,756,845,1800,2402,1058,476,115,34,15,13
Youseiki Suikoden,5.75,"Action, Martial Arts, Fantasy",1,25-Sep-93,Unknown,"Konami, Kadokawa Shoten",ADV Films,J.C.Staff,Light novel,45 min.,R - 17+ (violence & profanity),9006,8482,2308,1,78,1188,39,49,954,22,16,78,185,227,185,127,37,29,15
Kikaider 01 The Animation,6.78,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",4,"Nov 21, 2001 to Mar 20, 2002",Unknown,SME Visual Works,Bandai Entertainment,Radix,Other,27 min. per ep.,PG-13 - Teens 13 or older,4537,8311,2482,6,66,1551,58,70,737,89,110,198,296,190,142,58,19,18,9
Oh! Super Milk-chan,5.99,"Action, Parody, Comedy, Sci-Fi",12,"Jan 27, 2000 to Apr 13, 2000",Winter 2000,Pioneer LDC,ADV Films,Studio Pierrot,Original,21 min. per ep.,R - 17+ (violence & profanity),8252,6800,4437,18,184,2415,197,623,1018,120,121,198,362,390,307,207,119,111,114
Ring ni Kakero 1: Nichibei Kessen-hen,6.5,"Action, Sports, Shounen",12,"Apr 6, 2006 to Jun 12, 2006",Spring 2006,Marvelous,Unknown,Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,5910,9154,1759,14,82,824,55,85,713,46,33,92,151,145,69,29,12,9,6
Seishoujo Kantai Virgin Fleet,5.23,"Fantasy, Military, School, Sci-Fi",3,"Apr 25, 1998 to Oct 25, 1998",Unknown,BEAM Entertainment,Central Park Media,AIC,Unknown,30 min. per ep.,PG-13 - Teens 13 or older,10279,9294,1676,1,69,817,38,89,663,12,10,33,114,132,136,70,73,45,37
Hokuto no Ken: Raoh Gaiden Junai-hen,7.47,"Action, Adventure, Martial Arts",1,11-Mar-06,Unknown,North Stars Pictures,Unknown,TMS Entertainment,Unknown,1 hr. 35 min.,R - 17+ (violence & profanity),1670,5057,9311,19,223,5743,132,102,3111,382,560,1217,1222,479,214,58,27,10,30
HeatGuy J Special,7.04,"Action, Adventure, Mecha, Police, Sci-Fi",1,26-Sep-03,Unknown,Bandai Visual,"Funimation, Geneon Entertainment USA",Satelight,Original,25 min.,PG-13 - Teens 13 or older,3508,8536,2262,1,44,1393,49,44,732,71,105,205,294,164,81,21,11,5,2
Jikuu Tenshou Nazca,5.65,"Action, Adventure, Drama, Magic, Fantasy",12,"Apr 6, 1998 to Jun 29, 1998",Spring 1998,"Kadokawa Shoten, Pioneer LDC",Geneon Entertainment USA,"Genco, Radix",Manga,24 min. per ep.,PG-13 - Teens 13 or older,9296,6289,5386,6,293,1352,207,310,3224,15,40,95,218,273,213,147,75,52,22
Bulg-eunmae,5.57,"Super Power, Martial Arts",1,5-Aug-95,Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 26 min.,PG-13 - Teens 13 or older,9487,10475,987,1,29,603,11,35,309,13,10,39,77,92,86,55,50,25,11
Kaze no Tairiku,6.21,"Action, Adventure, Fantasy, Supernatural",1,18-Jul-92,Unknown,"Bandai Visual, Kadokawa Shoten, Victor Entertainment, animate Film, Imagica","Media Blasters, NYAV Post",Production I.G,Light novel,55 min.,PG-13 - Teens 13 or older,7288,6680,4656,6,126,2502,61,54,1913,47,66,212,528,545,326,130,46,27,17
Dae Jang Geum: Jang Geum's Dream,7.22,"Adventure, Comedy, Historical",26,"Oct 29, 2005 to Apr 29, 2006",Fall 2005,Heewon Entertainment,Unknown,Unknown,Other,24 min. per ep.,PG - Children,2689,7923,2882,27,152,1193,133,155,1249,118,98,190,251,144,57,24,9,3,10
Argento Soma Special,6.4,"Action, Mecha, Sci-Fi",1,1-Mar-02,Unknown,Unknown,Bandai Entertainment,Sunrise,Original,25 min.,PG-13 - Teens 13 or older,6378,7549,3331,1,50,2177,64,67,973,40,71,194,435,363,232,67,29,15,9
Tactical Roar Special,5.87,"Action, Comedy, Ecchi, Military, Romance, Sci-Fi",1,26-Sep-06,Unknown,Unknown,Unknown,Unknown,Unknown,10 min.,PG-13 - Teens 13 or older,8615,9319,1649,1,49,1053,41,40,466,30,24,45,141,166,151,55,31,22,17
Overman King Gainer,6.89,"Action, Adventure, Mecha, Sci-Fi, Shounen",26,"Sep 7, 2002 to Mar 22, 2003",Fall 2002,WOWOW,"Bandai Entertainment, Sentai Filmworks",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,4061,4862,10205,29,594,3632,598,584,4797,120,287,685,933,584,316,144,57,30,26
Dirty Pair: Bouryaku no 005-bin,6.79,"Action, Sci-Fi, Adventure, Comedy, Police",1,25-Jan-90,Unknown,Unknown,"ADV Films, Nozomi Entertainment",Sunrise,Light novel,59 min.,PG-13 - Teens 13 or older,4485,7479,3439,4,95,2073,59,39,1173,59,93,265,502,306,134,55,14,8,4
Dirty Pair: The Movie,7.08,"Action, Sci-Fi, Adventure, Comedy, Police",1,14-Mar-87,Unknown,Atelier Musa,"ADV Films, Nozomi Entertainment",Sunrise,Light novel,1 hr. 21 min.,PG-13 - Teens 13 or older,3301,5723,6804,30,186,3790,89,66,2673,147,315,640,834,501,210,78,24,9,7
Animation Seisaku Shinkou Kuromi-chan,6.92,"Comedy, Parody, Drama",1,30-Mar-01,Unknown,DAX Production,Central Park Media,Yumeta Company,Unknown,38 min.,PG-13 - Teens 13 or older,3919,5272,8370,6,138,5548,87,84,2513,135,294,905,1502,852,351,90,31,25,14
Animation Seisaku Shinkou Kuromi-chan 2,6.94,"Comedy, Parody, Drama",1,28-Jan-04,Unknown,DAX Production,Central Park Media,Yumeta Company,Unknown,47 min.,PG-13 - Teens 13 or older,3848,6386,5171,3,78,4008,55,47,983,86,212,656,1130,622,225,43,27,12,10
Fatal Fury: Legend of the Hungry Wolf,6.45,"Action, Adventure, Drama, Martial Arts, Romance, Shounen",1,23-Dec-92,Unknown,"Nihon Ad Systems, Studio Jack","VIZ Media, Discotek Media",Unknown,Game,46 min.,PG-13 - Teens 13 or older,6166,5262,8367,18,127,6478,75,60,1627,201,301,648,1291,1156,668,304,122,57,14
Fatal Fury 2: The New Battle,6.74,"Action, Adventure, Drama, Martial Arts, Shounen",1,31-Jul-93,Unknown,Nihon Ad Systems,"VIZ Media, Discotek Media",Unknown,Game,1 hr. 2 min.,PG-13 - Teens 13 or older,4721,5470,7591,25,122,6119,66,50,1234,235,346,758,1339,997,496,190,78,36,10
Dirty Pair Flash,6.67,"Action, Adventure, Police, Comedy, Sci-Fi",6,"Jan 21, 1994 to Jun 21, 1994",Unknown,"VAP, Studio Jack","ADV Films, Nozomi Entertainment",Sunrise,Light novel,27 min. per ep.,PG-13 - Teens 13 or older,5044,5608,7164,22,234,3797,296,322,2515,108,206,446,872,628,362,114,40,27,14
Dirty Pair: Lovely Angels yori Ai wo Komete,7.03,"Action, Adventure, Comedy, Police, Sci-Fi",2,1-Jan-87,Unknown,Studio Nue,Nozomi Entertainment,Sunrise,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,3535,7032,4074,3,100,2380,68,46,1480,72,133,406,564,302,129,24,12,9,4
Koko wa Green Wood,6.83,"Comedy, Drama, Romance, Shoujo, Slice of Life, Supernatural",6,"Nov 22, 1991 to Mar 26, 1993",Unknown,Unknown,"Media Blasters, Central Park Media","Studio Pierrot, Ajia-Do",Manga,30 min. per ep.,PG-13 - Teens 13 or older,4330,5489,7569,26,317,3138,249,274,3591,117,203,535,736,495,266,96,38,33,15
Master Mosquiton,6.69,"Action, Adventure, Comedy, Demons, Supernatural, Vampire",6,"Nov 21, 1996 to Apr 19, 1997",Unknown,"Nippon Columbia, Zero-G Room","ADV Films, Media Blasters",Unknown,Manga,27 min. per ep.,PG-13 - Teens 13 or older,4979,6639,4718,14,158,2745,132,174,1509,91,170,337,589,424,268,93,34,24,13
Master Mosquiton '99,6.52,"Action, Adventure, Comedy, Supernatural, Vampire",26,"Sep 30, 1997 to Mar 31, 1998",Fall 1997,"TV Tokyo, Sotsu, Zero-G Room",Unknown,Unknown,Manga,23 min. per ep.,PG-13 - Teens 13 or older,5818,7453,3511,5,175,1538,197,260,1341,55,66,199,323,277,161,81,30,20,9
Kamichama Karin,7.28,"Comedy, Fantasy, Magic, Romance, School, Shoujo",26,"Apr 6, 2007 to Sep 28, 2007",Spring 2007,"Broccoli, Nihon Ad Systems, Pony Canyon, Studio Kelmadick",Unknown,Satelight,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2423,2420,43946,480,1548,25562,1656,2436,12744,2078,2472,3890,4985,3057,1696,670,250,121,140
Kyoushirou to Towa no Sora,6.48,"Drama, Magic, Romance, Shounen",12,"Jan 5, 2007 to Mar 23, 2007",Winter 2007,"Geneon Universal Entertainment, AT-X, KlockWorx, Studio Mausu, Toshiba Entertainment","ADV Films, Funimation",TNK,Manga,24 min. per ep.,PG-13 - Teens 13 or older,6021,2614,37987,105,1863,17005,1464,2475,15180,889,1066,1970,3062,2716,1822,1051,538,357,252
Hanoka,3.67,Sci-Fi,12,"Aug 8, 2006 to Oct 31, 2006",Summer 2006,Fanworks,Unknown,RAMS,Original,5 min. per ep.,PG-13 - Teens 13 or older,11020,7495,3442,19,135,1661,82,336,1228,53,16,29,76,121,157,176,193,311,423
Genshiken OVA,7.66,"Parody, Slice of Life, Comedy",3,"Dec 22, 2006 to Apr 25, 2007",Unknown,"Genco, Lantis, Media Factory",Media Blasters,Ajia-Do,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1124,2386,45367,33,518,36538,434,236,7641,1715,4409,9605,7832,2454,805,195,69,30,32
Shakugan no Shana Movie,7.39,"Action, Supernatural, Fantasy",1,21-Apr-07,Unknown,"Geneon Universal Entertainment, ASCII Media Works, Showgate",Funimation,J.C.Staff,Light novel,1 hr. 30 min.,PG-13 - Teens 13 or older,1932,2082,56499,66,824,40817,698,482,13678,2542,3710,7391,7999,3744,1745,603,213,122,83
Sonic X,6.46,"Sci-Fi, Adventure, Comedy, Kids, Mecha, Shounen",78,"Apr 6, 2003 to Mar 28, 2004",Spring 2003,TV Tokyo,"4Kids Entertainment, Discotek Media",TMS Entertainment,Game,24 min. per ep.,PG - Children,6113,2092,56222,458,2441,40315,3143,5486,4837,2386,2058,4281,8472,7809,5333,2338,1149,548,360
Daimajuu Gekitou: Hagane no Oni,5.28,"Mecha, Horror, Sci-Fi",1,10-Dec-87,Unknown,AIC,Unknown,Unknown,Unknown,56 min.,PG-13 - Teens 13 or older,10173,8601,2204,3,64,1119,42,59,920,17,14,38,109,183,216,130,85,40,22
The Hakkenden,6.61,"Action, Adventure, Historical, Demons, Martial Arts, Samurai, Shounen",6,"Oct 25, 1990 to Mar 25, 1991",Unknown,AIC,Geneon Universal Entertainment,Artmic,Novel,30 min. per ep.,R - 17+ (violence & profanity),5315,5649,7057,13,285,2324,228,285,3935,89,134,351,510,384,231,96,41,31,23
Shin Hakkenden,7.17,"Action, Adventure, Martial Arts, Sci-Fi",26,"Apr 3, 1999 to Sep 25, 1999",Spring 1999,TV Tokyo,Unknown,Public & Basic,Unknown,24 min. per ep.,PG-13 - Teens 13 or older,2882,6479,4982,20,207,2478,152,183,1962,178,200,413,565,328,126,51,12,11,10
Hadashi no Gen,7.79,"Drama, Historical",1,21-Jul-83,Unknown,RCC Chugoku Broadcasting,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,1 hr. 23 min.,PG-13 - Teens 13 or older,837,2693,36090,119,697,17943,385,220,16845,1743,2750,4481,3231,1167,526,193,96,32,30
Hadashi no Gen 2,7.37,"Drama, Historical, Shounen",1,14-Jun-86,Unknown,GEN Productions,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,1 hr. 26 min.,PG-13 - Teens 13 or older,2030,5077,9224,11,171,5183,145,77,3648,360,497,1144,1235,563,203,89,31,16,16
Deltora Quest,7.04,"Adventure, Kids, Fantasy",65,"Jan 6, 2007 to Mar 29, 2008",Winter 2007,"Geneon Universal Entertainment, Dentsu, Genco, Kodansha, Half H.P Studio",Flatiron Film Company,OLM,Book,25 min. per ep.,PG-13 - Teens 13 or older,3483,3445,22531,139,1566,10355,1680,1711,7219,748,819,1663,2731,1633,1059,365,143,75,55
Seirei no Moribito,8.17,"Action, Adventure, Historical, Fantasy",26,"Apr 7, 2007 to Sep 29, 2007",Spring 2007,"Geneon Universal Entertainment, Dentsu, NHK Enterprises","VIZ Media, Media Blasters, Sentai Filmworks, Geneon Entertainment USA",Production I.G,Novel,25 min. per ep.,PG-13 - Teens 13 or older,344,845,177603,2552,10118,76576,7989,4921,77999,9629,17658,20907,11845,4142,1696,523,201,94,140
Catblue: Dynamite,6.06,"Action, Fantasy",1,22-Dec-06,Unknown,Unknown,Unknown,Unknown,Unknown,42 min.,R - 17+ (violence & profanity),7979,9199,1739,1,52,863,29,58,737,22,38,106,131,129,97,74,40,24,12
Ged Senki,6.95,"Adventure, Magic, Fantasy",1,29-Jul-06,Unknown,Toho,Walt Disney Studios,Studio Ghibli,Novel,1 hr. 55 min.,PG-13 - Teens 13 or older,3815,1317,107556,189,1082,83702,778,504,21490,4527,6868,12931,17433,11237,6011,3469,1265,605,336
Utawarerumono Specials,7.62,"Action, Fantasy, Comedy, Drama",6,"Aug 23, 2006 to Feb 21, 2007",Unknown,Lantis,Unknown,OLM,Unknown,11 min. per ep.,PG-13 - Teens 13 or older,1233,4276,14074,9,303,10233,390,174,2974,839,1226,2068,1807,859,355,117,39,22,22
Hyper-Psychic Geo Garaga,5.18,"Action, Sci-Fi, Adventure",1,21-Oct-89,Unknown,Asmik Ace,Central Park Media,"Anime R, Aubec",Manga,1 hr. 40 min.,R - 17+ (violence & profanity),10368,9926,1271,3,46,680,18,48,479,13,9,26,67,89,124,91,61,34,25
Ryuusei no Rockman,7.11,"Action, Game, Sci-Fi, Shounen",55,"Oct 7, 2006 to Oct 27, 2007",Fall 2006,Unknown,VIZ Media,Xebec,Game,10 min. per ep.,PG - Children,3147,4741,10947,82,528,6549,584,624,2662,417,491,997,1503,870,446,155,68,20,13
Shuffle! Memories,6.54,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",12,"Jan 8, 2007 to Mar 26, 2007",Winter 2007,Memory-Tech,Kadokawa Pictures USA,Asread,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,5703,2303,48183,61,1242,30370,1174,1992,13405,1127,1604,3152,5325,4493,2726,1248,563,316,344
Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,6.81,"Action, Sci-Fi, Adventure, Comedy, Parody, Shounen",12,"Jul 5, 2003 to Sep 20, 2003",Summer 2003,"Media Factory, KlockWorx, Memory-Tech, Toshiba Entertainment, Toshiba Digital Frontiers",Sentai Filmworks,ufotable,Light novel,24 min. per ep.,PG - Children,4394,6463,5002,15,218,2244,204,270,2066,93,147,339,564,341,158,79,34,27,18
Mitsu x Mitsu Drops,5.98,"Drama, Romance, School, Shoujo",2,"Apr 28, 2006 to Jul 28, 2006",Unknown,"Radix, Soft Garage",Unknown,Unknown,Manga,27 min. per ep.,PG-13 - Teens 13 or older,8299,3410,22992,92,616,16930,249,485,4712,724,826,1410,2266,2297,1796,1198,558,530,480
Jagainu-kun,6.44,"Adventure, Fantasy, Kids, Shoujo, Slice of Life",26,"Apr 4, 2004 to Jul 18, 2004",Spring 2004,Aniplex,Unknown,Unknown,Unknown,3 min. per ep.,G - All Ages,6229,9900,1292,5,46,686,76,153,331,54,44,67,141,106,87,39,18,20,10
Zero no Tsukaima: Futatsuki no Kishi,7.49,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",12,"Jul 9, 2007 to Sep 24, 2007",Summer 2007,"Genco, Media Factory, Shochiku, Happinet Pictures",Sentai Filmworks,J.C.Staff,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,1603,319,415292,1365,8803,358412,4915,5536,37626,29084,37977,66941,68906,32268,14717,6043,2594,1286,918
Dai Mahou Touge Omake,6.85,Comedy,4,"Mar 20, 2006 to Mar 21, 2007",Unknown,Unknown,Unknown,Diomedéa,Manga,1 min. per ep.,PG-13 - Teens 13 or older,4242,5604,7183,2,95,5612,80,62,1334,236,370,740,1174,824,430,147,62,40,31
Major S3,8.27,"Drama, Shounen, Sports",26,"Jan 6, 2007 to Jun 30, 2007",Winter 2007,NHK,Unknown,Studio Hibari,Manga,25 min. per ep.,PG-13 - Teens 13 or older,254,2093,56078,358,1050,47761,489,487,6291,6297,9383,11732,5758,1675,511,140,56,33,106
Yomigaeru Sora: Rescue Wings - Saigo no Shigoto,6.96,"Military, Drama, Seinen",1,17-Jun-06,Unknown,Unknown,Unknown,J.C.Staff,Original,22 min.,PG-13 - Teens 13 or older,3786,8062,2711,2,45,1929,47,43,647,45,119,318,517,260,126,33,5,6,3
Clamp Gakuen Tanteidan,6.91,"Action, Mystery, Comedy, Shoujo",26,"May 3, 1997 to Oct 25, 1997",Spring 1997,Bandai Visual,"Bandai Entertainment, Maiden Japan",Studio Pierrot,Manga,24 min. per ep.,G - All Ages,3962,4648,11517,27,532,5539,776,736,3934,266,368,814,1347,876,454,160,79,38,32
Gaiking: Legend of Daiku-Maryu,7.13,"Action, Mecha, Sci-Fi",39,"Nov 12, 2005 to Sep 24, 2006",Fall 2005,Unknown,Unknown,Toei Animation,Unknown,25 min. per ep.,G - All Ages,3091,7117,3966,15,225,1498,243,198,1802,91,120,296,345,171,94,40,22,6,7
Princess Nine: Kisaragi Joshikou Yakyuubu,7.15,"Sports, Romance, Drama",26,"Apr 8, 1998 to Oct 14, 1998",Spring 1998,NHK,"ADV Films, Nozomi Entertainment",Phoenix Entertainment,Original,25 min. per ep.,PG-13 - Teens 13 or older,2996,4988,9614,46,444,3926,425,395,4424,204,372,789,953,487,254,100,33,20,15
Rec: Yurusarezarumono,7.16,"Comedy, Drama, Romance, Seinen",1,30-Jun-06,Unknown,Unknown,Unknown,Shaft,Manga,13 min.,PG-13 - Teens 13 or older,2959,3507,21840,4,146,18936,166,74,2518,696,1437,3385,4647,2251,984,290,106,54,33
Haou Taikei Ryuu Knight,6.6,"Action, Adventure, Fantasy, Mecha",52,"Apr 5, 1994 to Mar 28, 1995",Spring 1994,Unknown,Unknown,Sunrise,Manga,25 min. per ep.,PG-13 - Teens 13 or older,5363,8231,2538,5,176,646,145,188,1383,30,37,77,156,118,82,28,9,5,5
Haou Taikei Ryuu Knight: Adeu Legend,6.31,"Action, Adventure, Fantasy, Mecha",13,"Jul 21, 1994 to Sep 25, 1995",Unknown,Unknown,Unknown,Sunrise,Unknown,30 min. per ep.,PG-13 - Teens 13 or older,6828,10366,1041,0,49,375,39,56,522,8,15,31,73,64,50,9,9,5,2
Haou Daikei Ryuu Knight: Adeu Legend II,6.04,"Action, Adventure, Fantasy, Mecha",3,"Dec 18, 1995 to Apr 25, 1996",Unknown,Unknown,Unknown,Sunrise,Unknown,30 min. per ep.,PG-13 - Teens 13 or older,8073,11274,708,0,30,289,22,33,334,9,4,12,56,45,46,13,7,2,4
Haou Daikei Ryuu Knight: Adeu Legend Final,6.07,"Parody, Adventure, Fantasy, Comedy, Mecha",1,25-May-96,Unknown,Unknown,Unknown,Sunrise,Unknown,30 min.,PG-13 - Teens 13 or older,7944,11357,682,0,24,283,20,37,318,10,7,21,42,40,30,11,9,3,4
Hidamari Sketch,7.45,"Comedy, School, Seinen, Slice of Life",12,"Jan 12, 2007 to Mar 30, 2007",Winter 2007,"Aniplex, Lantis, TBS, Movic, Houbunsha",Sentai Filmworks,Shaft,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,1745,1872,66077,924,3079,27689,3084,2808,29417,1696,3206,6463,6467,2854,1404,519,203,109,114
Cutey Honey F,6.57,"Action, Adventure, Comedy, Magic, Romance, Sci-Fi, Shoujo",39,"Feb 15, 1997 to Jan 31, 1998",Winter 1997,Dynamic Planning,Unknown,Toei Animation,Unknown,23 min. per ep.,PG-13 - Teens 13 or older,5533,5512,7495,21,411,2265,469,454,3896,103,130,272,527,390,242,113,67,22,23
Rockman Hoshi ni Negai wo,6.45,"Action, Sci-Fi, Adventure",3,20-Sep-02,Unknown,Unknown,Unknown,Unknown,Game,30 min. per ep.,G - All Ages,6132,7632,3233,8,93,1990,94,106,950,83,91,163,379,333,218,91,26,18,11
JaJa Uma! Quartet,5.13,"Adventure, Comedy, Fantasy, Magic, Shounen",2,"May 21, 1997 to Sep 26, 1997",Unknown,Unknown,Central Park Media,Unknown,Manga,30 min. per ep.,PG-13 - Teens 13 or older,10428,9748,1383,0,38,805,24,48,468,12,12,25,71,113,130,85,53,53,29
Kimi ga Nozomu Eien: Ayu Mayu Gekijou,6.22,Comedy,7,"Sep 29, 2006 to Feb 23, 2007",Unknown,"Lantis, Age, Rakuonsha",Unknown,Picture Magic,Visual novel,5 min. per ep.,PG-13 - Teens 13 or older,7250,6106,5765,5,118,3812,132,124,1579,105,128,347,667,696,458,209,103,53,30
Taiyou no Mokushiroku: A Spirit of the Sun,6.91,"Drama, Sci-Fi",2,"Sep 17, 2006 to Sep 18, 2006",Unknown,Tohokushinsha Film Corporation,Maiden Japan,Madhouse,Manga,1 hr. 17 min. per ep.,R - 17+ (violence & profanity),3974,8203,2565,3,92,945,62,68,1398,43,67,164,234,128,66,22,9,5,10
Gakuen Utopia Manabi Straight!,7.28,"Slice of Life, Comedy, School",12,"Jan 8, 2007 to Mar 26, 2007",Winter 2007,"Starchild Records, KlockWorx, ASCII Media Works",Discotek Media,ufotable,Original,24 min. per ep.,G - All Ages,2410,3162,26955,104,1036,11465,1244,1320,11890,657,1238,2464,2727,1429,767,270,120,46,41
Grappler Baki,6.8,"Action, Sports, Martial Arts, Shounen",1,21-Aug-94,Unknown,Knack Productions,Central Park Media,Unknown,Manga,45 min.,R - 17+ (violence & profanity),4434,4723,11015,29,217,8229,110,141,2318,362,428,988,1737,1213,606,224,90,31,29
Tokyo Majin Gakuen Kenpucho: Tou,7.15,"Action, Horror, Supernatural, Drama, Martial Arts, Fantasy, School",14,"Jan 19, 2007 to Apr 20, 2007",Winter 2007,"Trinity Sound, Imagine","ADV Films, Funimation","AIC Spirits, BeSTACK",Game,24 min. per ep.,R - 17+ (violence & profanity),3003,1871,66276,260,4192,29428,3074,3206,26376,1484,2612,5495,7184,3805,1923,749,283,125,115
Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi,7.55,"Slice of Life, Comedy, Sports, Drama, School, Shounen",1,20-Aug-94,Unknown,Unknown,Unknown,Toei Animation,Manga,45 min.,PG-13 - Teens 13 or older,1412,4463,12601,23,180,9218,153,131,2919,715,802,1813,1974,766,282,66,21,10,14
Strike Witches OVA,6.29,"Action, Ecchi, Magic, Military, Sci-Fi",1,1-Jan-07,Unknown,Rakuonsha,Unknown,Gonzo,Original,8 min.,PG-13 - Teens 13 or older,6960,3363,23592,27,412,16020,267,251,6642,544,608,1329,2554,2638,1653,770,388,199,127
Koisuru Tenshi Angelique: Kagayaki no Ashita,6.99,"Drama, Fantasy, Harem, Romance, Shoujo",12,"Jan 6, 2007 to Mar 24, 2007",Winter 2007,"Kids Station, Koei",Unknown,Satelight,Game,24 min. per ep.,PG-13 - Teens 13 or older,3682,5080,9160,43,454,4097,299,335,3975,221,296,528,829,527,288,106,41,16,21
